Halo,What is the main character?,Master Cheif,100
Halo,What is the main enemy called in halo 1?,Covenant,200
Halo,What kind of weapon is the gravity hammer?,Melee,300
Halo,What is the name of the AI?,Cortana,400
Halo,What is the human military acronym?,USNC,500
Halo,What type of weapon is the plasma pistol?,plamsa,600
Halo,What is the name of the intallation halo takes place on?,halo,700
Halo,What is the second main enemy called in halo 1?,flood,800
Halo,What is the name of the main land vehicle in halo?,Warthog,900
Halo,Who is the commander in the first halo?,Keyes,1000
