States,What state is the city Denver in?,Colorado,100
States,What state was the last state to be established?,Hawaii,300
States,What state is known for their peaches?,Georgia,200
States,What state was the first to be established?,Delaware,1000
States,What is the largest state?,Alaska,500
States,What state has the largest Hispanic population?,California,500
States,What state has the hottest annual weather?,Florida,600
States,Which state was the first to legalize marijuana?,California,100
States,Which state has the most seafood production?,Alaska,200
States,Which state is known for its alligators and crocodiles?,Florida,100
States,What is the smallest state?,Rhode Island,900
